RGB,RGB1,RGB2,Color
c39953,,,Aztec Gold
a17a74,,,Burnished Brown
6d9bc3,,,Cerulean Frost
cd607e,,,Cinnamon Satin
ad6f69,,,Copper Penny
2e2d88,,,Cosmic Cobalt
ab92b3,,,Glossy Grape
676767,,,Granite Gray
6eaea1,,,Green Sheen
ae98aa,,,Lilac Luster
bbb477,,,Misty Moss
ad4379,,,Mystic Maroon
b768a2,,,Pearly Purple
8ba8b7,,,Pewter Blue
5da493,,,Polished Pine
a6a6a6,,,Quick Silver
9e5e6f,,,Rose Dust
da2c43,,,Rusty Red
778ba5,,,Shadow Blue
5fa778,,,Shiny Shamrock
5f8a8b,,,Steel Teal
914e75,,,Sugar Plum
8a496b,,,Twilight Lavender
56887d,,,Wintergreen Dream
fefefa,,,Baby Powder
ffd12a,,,Banana
4f86f7,,,Blueberry
ffd3f8,,,Bubble Gum
c95a49,,,Cedar Chest
da2647,,,Cherry
bd8260,,,Chocolate
fefefe,,,Coconut
ffff31,,,Daffodil
9b7653,,,Dirt
44d7a8,,,Eucalyptus
a6e7ff,,,Fresh Air
6f2da8,,,Grape
da614e,,,Jelly Bean
253529,,,Leather Jacket
ffff38,,,Lemon
1a1110,,,Licorice
db91ef,,,Lilac
b2f302,,,Lime
ffe4cd,,,Lumber
214fc6,,,New Car
ff8866,,,Orange
ffd0b9,,,Peach
45a27d,,,Pine
ff5050,,,Rose
ffcff1,,,Shampoo
738276,,,Smoke
cec8ef,,,Soap
fc5a8d,,,Strawberry
ff878d,,,Tulip
892eb0,,,Amethyst
a54e37,,,Citrine
389765,,,Emerald
42bd9d,,,Jade
d73b3e,,,Jasper
2e008c,,,Lapis Lazuli
17857b,,,Malachite
73a9c2,,,Moonstone
0f0f0f,,,Onyx
e6e200,,,Peridot
e7accf,,,Pink Pearl
cf2583,,,Rose Quartz
dc0646,,,Ruby
557ddb,,,Sapphire
933d41,,,Smokey Topaz
e08d3c,,,Tiger's Eye
0f0f0f,,,Onyx
e6e200,,,Peridot
e7accf,,,Pink Pearl
cf2583,,,Rose Quartz
dc0646,,,Ruby
557ddb,,,Sapphire
933d41,,,Smokey Topaz
e08d3c,,,Tiger's Eye
5fbed7,,,Aqua Pearl
54626f,,,Black Coral Pearl
6ada8e,,,Caribbean Green Pearl
f5f5f5,,,Cultured Pearl
e8f48c,,,Key Lime Pearl
f37a48,,,Mandarin Pearl
702670,,,Midnight Pearl
d65282,,,Mystic Pearl
4f42b5,,,Ocean Blue Pearl
48bf91,,,Ocean Green Pearl
7b4259,,,Orchid Pearl
f03865,,,Rose Pearl
f1444a,,,Salmon Pearl
f2f27a,,,Sunny Pearl
f1cc79,,,Sunset Pearl
3bbcd0,,,Turquoise Pearl
84de02,,,Alien Armpit
e88e5a,,,Big Foot Feet
dde26a,,,Booger Buster
c53151,,,Dingy Dungeon
ffdf46,,,Gargoyle Gas
b05c52,,,Giant's Club
ff4466,,,Magic Potion
828e84,,,Mummy's Tomb
fd5240,,,Ogre Odor
391285,,,Pixie Powder
ff85cf,,,Princess Perfume
ff4681,,,Sasquatch Socks
4bc7cf,,,Sea Serpent
ff6d3a,,,Smashed Pumpkin
ff404c,,,Sunburnt Cyclops
a0e6ff,,,Winter Wizard
84de02,,,Alien Armpit
e88e5a,,,Big Foot Feet
dde26a,,,Booger Buster
c53151,,,Dingy Dungeon
ffdf46,,,Gargoyle Gas
b05c52,,,Giant's Club
ff4466,,,Magic Potion
828e84,,,Mummy's Tomb
fd5240,,,Ogre Odor
391285,,,Pixie Powder
ff85cf,,,Princess Perfume
ff4681,,,Sasquatch Socks
4bc7cf,,,Sea Serpent
ff6d3a,,,Smashed Pumpkin
ff404c,,,Sunburnt Cyclops
a0e6ff,,,Winter Wizard
2243b6,,,Denim Blue
5dadec,,,Blue Jeans
5946b2,,,Plump Purple
9c51b6,,,Purple Plum
a83731,,,Sweet Brown
af6e4d,,,Brown Sugar
1b1b1b,,,Eerie Black
bfafb2,,,Black Shadows
ff5470,,,Fiery Rose
ffdb00,,,Sizzling Sunrise
ff7a00,,,Heat Wave
fdff00,,,Lemon Glacier
87ff2a,,,Spring Frost
0048ba,,,Absolute Zero
ff007c,,,Winter Sky
e936a7,,,Frostbite
92f646,fdfe03,cbfb07,Amazon Forest
5d8ddf,daced2,30d6a4,Caribbean Current
ffb329,ffd82c,ffcc6b,Florida Sunshine
6d3834,b36058,000000,Grand Canyon
8e599f,ec872b,fa79b9,Maui Sunset
070707,8d479d,6e7fe7,Milky Way
f5cbbd,b06e54,d0c6c6,Sahara Desert
ed4c44,ef8e30,a95e34,Yosemite Campfire
